x_column  y_column
1.000000000000000000e+02 1.213896926049330460e+01
5.000000000000000000e+02 1.587403672526048126e+01
1.000000000000000000e+03 1.960910419002764016e+01
5.000000000000000000e+03 1.880606468510270801e+01
1.000000000000000000e+04 1.933831179883202367e+01
5.000000000000000000e+04 1.897787778848199380e+01
1.000000000000000000e+05 1.901522846312967019e+01
5.000000000000000000e+05 1.909553241362215914e+01
1.000000000000000000e+06 1.915435972619224714e+01
5.000000000000000000e+06 1.914203400355851414e+01
1.000000000000000000e+07 1.915669414335771847e+01
