MolID	1	2	3	4	5	6	7	8	9	10	11	12	13	14
90	nan	0.512400	0.495420	0.405660	0.519900	0.431590	0.462840	0.561350	0.655960	0.816120	0.640660	0.818340	0.760520	0.581490	nan
59	nan	0.512400	0.495420	0.405660	0.519900	0.431590	0.462840	0.561350	0.655960	0.816120	0.640660	0.818340	0.760520	0.581490	nan
156	nan	0.512400	0.495420	0.405660	0.519900	0.431590	0.462840	0.561350	0.655960	0.816120	0.640660	0.818340	0.760520	0.581490	nan
193	nan	0.753470	0.666520	0.784790	0.622660	0.613570	0.568900	0.653250	0.837140	0.779950	nan	0.697430	nan	0.692560	nan
72	nan	0.753470	0.666520	0.784790	0.622660	0.613570	0.568900	0.653250	0.837140	0.779950	nan	0.697430	nan	0.692560	nan
459	nan	0.753470	0.666520	0.784790	0.622660	0.613570	0.568900	0.653250	0.837140	0.779950	nan	0.697430	nan	0.692560	nan
556	nan	0.753470	0.666520	0.784790	0.622660	0.613570	0.568900	0.653250	0.837140	0.779950	nan	0.697430	nan	0.692560	nan
655	nan	0.753470	0.666520	0.784790	0.622660	0.613570	0.568900	0.653250	0.837140	0.779950	nan	0.697430	nan	0.692560	nan
256	nan	0.512400	0.495420	0.405660	0.519900	0.431590	0.462840	0.561350	0.655960	0.816120	0.640660	0.818340	0.760520	0.581490	nan
284	nan	0.512400	0.495420	0.405660	0.519900	0.431590	0.462840	0.561350	0.655960	0.816120	0.640660	0.818340	0.760520	0.581490	nan
406	nan	0.512400	0.495420	0.405660	0.519900	0.431590	0.462840	0.561350	0.655960	0.816120	0.640660	0.818340	0.760520	0.581490	nan
106	nan	0.512400	0.495420	0.405660	0.519900	0.431590	0.462840	0.561350	0.655960	0.816120	0.640660	0.818340	0.760520	0.581490	nan
282	nan	0.512400	0.495420	0.405660	0.519900	0.431590	0.462840	0.561350	0.655960	0.816120	0.640660	0.818340	0.760520	0.581490	nan
332	nan	0.512400	0.495420	0.405660	0.519900	0.431590	0.462840	0.561350	0.655960	0.816120	0.640660	0.818340	0.760520	0.581490	nan
572	nan	0.512400	0.495420	0.405660	0.519900	0.431590	0.462840	0.561350	0.655960	0.816120	0.640660	0.818340	0.760520	0.581490	nan
482	nan	0.525040	0.378880	0.557550	0.691160	0.605490	0.476860	0.631860	0.612320	0.671910	0.232370	0.558080	0.466930	0.385670	nan
340	nan	0.525040	0.378880	0.557550	0.691160	0.605490	0.476860	0.631860	0.612320	0.671910	0.232370	0.558080	0.466930	0.385670	nan
758	nan	0.525040	0.378880	0.557550	0.691160	0.605490	0.476860	0.631860	0.612320	0.671910	0.232370	0.558080	0.466930	0.385670	nan
759	nan	0.525040	0.378880	0.557550	0.691160	0.605490	0.476860	0.631860	0.612320	0.671910	0.232370	0.558080	0.466930	0.385670	nan
456	nan	0.525040	0.378880	0.557550	0.691160	0.605490	0.476860	0.631860	0.612320	0.671910	0.232370	0.558080	0.466930	0.385670	nan
122	nan	0.525040	0.378880	0.557550	0.691160	0.605490	0.476860	0.631860	0.612320	0.671910	0.232370	0.558080	0.466930	0.385670	nan
146	nan	0.753470	0.666520	0.784790	0.622660	0.613570	0.568900	0.653250	0.837140	0.779950	nan	0.697430	nan	0.692560	nan
792	nan	0.753470	0.666520	0.784790	0.622660	0.613570	0.568900	0.653250	0.837140	0.779950	nan	0.697430	nan	0.692560	nan
201	nan	0.753470	0.666520	0.784790	0.622660	0.613570	0.568900	0.653250	0.837140	0.779950	nan	0.697430	nan	0.692560	nan
507	nan	0.753470	0.666520	0.784790	0.622660	0.613570	0.568900	0.653250	0.837140	0.779950	nan	0.697430	nan	0.692560	nan
623	nan	0.753470	0.666520	0.784790	0.622660	0.613570	0.568900	0.653250	0.837140	0.779950	nan	0.697430	nan	0.692560	nan
162	nan	nan	0.721830	0.754220	0.775710	0.664840	0.750920	0.795540	0.580670	0.773150	0.635610	0.813280	0.655680	0.823150	nan
786	nan	nan	0.721830	0.754220	0.775710	0.664840	0.750920	0.795540	0.580670	0.773150	0.635610	0.813280	0.655680	0.823150	nan
633	nan	nan	0.721830	0.754220	0.775710	0.664840	0.750920	0.795540	0.580670	0.773150	0.635610	0.813280	0.655680	0.823150	nan
187	nan	nan	0.721830	0.754220	0.775710	0.664840	0.750920	0.795540	0.580670	0.773150	0.635610	0.813280	0.655680	0.823150	nan
380	nan	nan	0.721830	0.754220	0.775710	0.664840	0.750920	0.795540	0.580670	0.773150	0.635610	0.813280	0.655680	0.823150	nan
445	nan	nan	0.721830	0.754220	0.775710	0.664840	0.750920	0.795540	0.580670	0.773150	0.635610	0.813280	0.655680	0.823150	nan
175	nan	nan	0.721830	0.754220	0.775710	0.664840	0.750920	0.795540	0.580670	0.773150	0.635610	0.813280	0.655680	0.823150	nan
598	nan	nan	0.721830	0.754220	0.775710	0.664840	0.750920	0.795540	0.580670	0.773150	0.635610	0.813280	0.655680	0.823150	nan
711	nan	nan	0.721830	0.754220	0.775710	0.664840	0.750920	0.795540	0.580670	0.773150	0.635610	0.813280	0.655680	0.823150	nan
617	nan	nan	0.721830	0.754220	0.775710	0.664840	0.750920	0.795540	0.580670	0.773150	0.635610	0.813280	0.655680	0.823150	nan
730	nan	nan	0.721830	0.754220	0.775710	0.664840	0.750920	0.795540	0.580670	0.773150	0.635610	0.813280	0.655680	0.823150	nan
743	nan	nan	0.721830	0.754220	0.775710	0.664840	0.750920	0.795540	0.580670	0.773150	0.635610	0.813280	0.655680	0.823150	nan
589	nan	nan	0.721830	0.754220	0.775710	0.664840	0.750920	0.795540	0.580670	0.773150	0.635610	0.813280	0.655680	0.823150	nan
1	nan	nan	nan	nan	nan	0.357580	0.491430	0.581540	0.398080	0.529330	0.394360	0.188940	0.628320	0.575330	0.254420
513	nan	0.704570	0.688200	0.591270	0.771990	0.357580	0.491430	0.581540	0.398080	0.529330	0.394360	0.188940	0.628320	0.575330	0.254420
321	nan	0.704570	0.688200	0.591270	0.771990	0.357580	0.491430	0.581540	0.398080	0.529330	0.394360	0.188940	0.628320	0.575330	0.254420
774	nan	0.704570	0.688200	0.591270	0.771990	0.357580	0.491430	0.581540	0.398080	0.529330	0.394360	0.188940	0.628320	0.575330	0.254420
12	nan	nan	nan	nan	nan	0.357580	0.491430	0.581540	0.398080	0.529330	0.394360	0.188940	0.628320	0.575330	0.254420
