MolID	1	2	3	4	5	6	7	8	9	10	11	12	13	14
344	nan	0.586110	0.418670	0.449030	0.500390	0.517200	0.615560	0.545870	0.587440	0.535530	0.561350	0.478480	0.302640	0.646350	nan
457	nan	0.586110	0.418670	0.449030	0.500390	0.517200	0.615560	0.545870	0.587440	0.535530	0.561350	0.478480	0.302640	0.646350	nan
10	nan	0.586110	0.418670	0.449030	0.500390	0.517200	0.615560	0.545870	0.587440	0.535530	0.561350	0.478480	0.302640	0.646350	nan
795	nan	0.586110	0.418670	0.449030	0.500390	0.517200	0.615560	0.545870	0.587440	0.535530	0.561350	0.478480	0.302640	0.646350	nan
333	nan	0.586110	0.418670	0.449030	0.500390	0.517200	0.615560	0.545870	0.587440	0.535530	0.561350	0.478480	0.302640	0.646350	nan
429	nan	0.586110	0.418670	0.449030	0.500390	0.517200	0.615560	0.545870	0.587440	0.535530	0.561350	0.478480	0.302640	0.646350	nan
252	nan	0.596390	0.694550	0.550370	0.574720	0.659170	0.690150	nan	0.474330	0.331460	0.728180	0.594810	0.664820	0.385660	nan
421	nan	nan	0.499760	0.642020	0.544650	0.551050	nan	nan	0.474330	0.331460	0.728180	0.594810	0.664820	0.385660	nan
487	nan	nan	0.499760	0.642020	0.544650	0.551050	nan	nan	0.474330	0.331460	0.728180	0.594810	0.664820	0.385660	nan
40	nan	nan	0.499760	0.642020	0.544650	0.551050	nan	nan	0.474330	0.331460	0.728180	0.594810	0.664820	0.385660	nan
395	nan	0.596390	0.694550	0.550370	0.574720	0.659170	0.690150	nan	0.474330	0.331460	0.728180	0.594810	0.664820	0.385660	nan
616	nan	nan	0.499760	0.642020	0.544650	0.551050	nan	nan	0.474330	0.331460	0.728180	0.594810	0.664820	0.385660	nan
335	nan	0.596390	0.694550	0.550370	0.574720	0.659170	0.690150	nan	0.474330	0.331460	0.728180	0.594810	0.664820	0.385660	nan
738	nan	nan	0.499760	0.642020	0.544650	0.551050	nan	nan	0.474330	0.331460	0.728180	0.594810	0.664820	0.385660	nan
163	nan	nan	0.499760	0.642020	0.544650	0.551050	nan	nan	0.474330	0.331460	0.728180	0.594810	0.664820	0.385660	nan
354	nan	0.596390	0.694550	0.550370	0.574720	0.659170	0.690150	nan	0.474330	0.331460	0.728180	0.594810	0.664820	0.385660	nan
249	nan	0.596390	0.694550	0.550370	0.574720	0.659170	0.690150	nan	0.474330	0.331460	0.728180	0.594810	0.664820	0.385660	nan
774	nan	nan	0.499760	0.642020	0.544650	0.551050	nan	nan	0.474330	0.331460	0.728180	0.594810	0.664820	0.385660	nan
77	nan	0.596390	0.694550	0.550370	0.574720	0.659170	0.690150	nan	0.474330	0.331460	0.728180	0.594810	0.664820	0.385660	nan
336	nan	nan	0.499760	0.642020	0.544650	0.551050	nan	nan	0.474330	0.331460	0.728180	0.594810	0.664820	0.385660	nan
665	nan	nan	0.499760	0.642020	0.544650	0.551050	nan	nan	0.474330	0.331460	0.728180	0.594810	0.664820	0.385660	nan
59	nan	nan	0.499760	0.642020	0.544650	0.551050	nan	nan	0.474330	0.331460	0.728180	0.594810	0.664820	0.385660	nan
638	nan	0.596390	0.694550	0.550370	0.574720	0.659170	0.690150	nan	0.474330	0.331460	0.728180	0.594810	0.664820	0.385660	nan
128	nan	nan	nan	0.574860	0.455850	0.735970	0.767580	0.270010	0.693540	0.510890	0.772880	0.788500	0.766020	0.829010	nan
609	nan	nan	nan	0.574860	0.455850	0.735970	0.767580	0.270010	0.693540	0.510890	0.772880	0.788500	0.766020	0.829010	nan
578	nan	nan	nan	0.574860	0.455850	0.735970	0.767580	0.270010	0.693540	0.510890	0.772880	0.788500	0.766020	0.829010	nan
419	nan	nan	nan	0.574860	0.455850	0.735970	0.767580	0.270010	0.693540	0.510890	0.772880	0.788500	0.766020	0.829010	nan
181	nan	0.519360	0.821180	0.574860	0.455850	0.735970	0.767580	0.270010	0.693540	0.510890	0.772880	0.788500	0.766020	0.829010	nan
663	nan	0.519360	0.821180	0.574860	0.455850	0.735970	0.767580	0.270010	0.693540	0.510890	0.772880	0.788500	0.766020	0.829010	nan
529	nan	0.586110	0.418670	0.449030	0.500390	0.517200	0.615560	0.545870	0.587440	0.535530	0.561350	0.478480	0.302640	0.646350	nan
579	nan	0.586110	0.418670	0.449030	0.500390	0.517200	0.615560	0.545870	0.587440	0.535530	0.561350	0.478480	0.302640	0.646350	nan
675	nan	0.586110	0.418670	0.449030	0.500390	0.517200	0.615560	0.545870	0.587440	0.535530	0.561350	0.478480	0.302640	0.646350	nan
455	nan	0.586110	0.418670	0.449030	0.500390	0.517200	0.615560	0.545870	0.587440	0.535530	0.561350	0.478480	0.302640	0.646350	nan
488	nan	0.586110	0.418670	0.449030	0.500390	0.517200	0.615560	0.545870	0.587440	0.535530	0.561350	0.478480	0.302640	0.646350	nan
394	nan	0.586110	0.418670	0.449030	0.500390	0.517200	0.615560	0.545870	0.587440	0.535530	0.561350	0.478480	0.302640	0.646350	nan
141	nan	0.586110	0.418670	0.449030	0.500390	0.517200	0.615560	0.545870	0.587440	0.535530	0.561350	0.478480	0.302640	0.646350	nan
722	nan	0.683920	0.893130	0.498030	0.799420	0.757000	nan	0.941560	nan	0.918780	0.737140	nan	0.702130	0.923720	nan
611	nan	0.683920	0.893130	0.498030	0.799420	0.757000	nan	0.941560	nan	0.918780	0.737140	nan	0.702130	0.923720	nan
150	nan	0.586110	0.418670	0.449030	0.500390	0.517200	0.615560	0.545870	0.587440	0.535530	0.561350	0.478480	0.302640	0.646350	nan
364	nan	0.683920	0.893130	0.498030	0.799420	0.757000	nan	0.941560	nan	0.918780	0.737140	nan	0.702130	0.923720	nan
381	nan	0.586110	0.418670	0.449030	0.500390	0.517200	0.615560	0.545870	0.587440	0.535530	0.561350	0.478480	0.302640	0.646350	nan
689	nan	0.519360	0.821180	0.574860	0.455850	0.735970	0.767580	0.270010	0.693540	0.510890	0.772880	0.788500	0.766020	0.829010	nan
678	nan	0.519360	0.821180	0.574860	0.455850	0.735970	0.767580	0.270010	0.693540	0.510890	0.772880	0.788500	0.766020	0.829010	nan
648	nan	0.519360	0.821180	0.574860	0.455850	0.735970	0.767580	0.270010	0.693540	0.510890	0.772880	0.788500	0.766020	0.829010	nan
158	nan	nan	nan	0.574860	0.455850	0.735970	0.767580	0.270010	0.693540	0.510890	0.772880	0.788500	0.766020	0.829010	nan
348	nan	0.519360	0.821180	0.574860	0.455850	0.735970	0.767580	0.270010	0.693540	0.510890	0.772880	0.788500	0.766020	0.829010	nan
750	nan	0.519360	0.821180	0.574860	0.455850	0.735970	0.767580	0.270010	0.693540	0.510890	0.772880	0.788500	0.766020	0.829010	nan
633	nan	0.683920	0.893130	0.498030	0.799420	0.757000	nan	0.941560	nan	0.918780	0.737140	nan	0.702130	0.923720	nan
667	nan	0.683920	0.893130	0.498030	0.799420	0.757000	nan	0.941560	nan	0.918780	0.737140	nan	0.702130	0.923720	nan
733	nan	0.683920	0.893130	0.498030	0.799420	0.757000	nan	0.941560	nan	0.918780	0.737140	nan	0.702130	0.923720	nan
439	nan	0.683920	0.893130	0.498030	0.799420	0.757000	nan	0.941560	nan	0.918780	0.737140	nan	0.702130	0.923720	nan
3	nan	0.565470	nan	0.532560	0.529100	0.578010	0.481000	0.544920	0.640460	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
708	nan	0.565470	nan	0.532560	0.529100	0.578010	0.481000	0.544920	0.640460	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
581	nan	0.764240	0.414870	0.782700	0.839020	0.720130	0.807510	0.341520	0.662860	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
778	nan	0.556050	nan	0.532560	0.529100	0.578010	0.481000	0.544920	0.640460	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
138	nan	0.764240	0.414870	0.782700	0.839020	0.720130	0.807510	0.341520	0.662860	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
460	nan	0.565470	nan	0.532560	0.529100	0.578010	0.481000	0.544920	0.640460	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
76	nan	0.556050	nan	0.532560	0.529100	0.578010	0.481000	0.544920	0.640460	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
80	nan	0.565470	nan	0.532560	0.529100	0.578010	0.481000	0.544920	0.640460	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
401	nan	0.764240	0.414870	0.782700	0.839020	0.720130	0.807510	0.341520	0.662860	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
83	nan	0.565470	nan	0.532560	0.529100	0.578010	0.481000	0.544920	0.640460	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
20	nan	0.556050	nan	0.532560	0.529100	0.578010	0.481000	0.544920	0.640460	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
597	nan	0.556050	nan	0.532560	0.529100	0.578010	0.481000	0.544920	0.640460	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
24	nan	0.556050	nan	0.532560	0.529100	0.578010	0.481000	0.544920	0.640460	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
793	nan	0.565470	nan	0.532560	0.529100	0.578010	0.481000	0.544920	0.640460	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
607	nan	0.565470	nan	0.532560	0.529100	0.578010	0.481000	0.544920	0.640460	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
737	nan	0.764240	0.414870	0.782700	0.839020	0.720130	0.807510	0.341520	0.662860	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
229	nan	0.764240	0.414870	0.782700	0.839020	0.720130	0.807510	0.341520	0.662860	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
298	nan	0.764240	0.414870	0.782700	0.839020	0.720130	0.807510	0.341520	0.662860	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
747	nan	0.565470	nan	0.532560	0.529100	0.578010	0.481000	0.544920	0.640460	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
621	nan	0.565470	nan	0.532560	0.529100	0.578010	0.481000	0.544920	0.640460	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
435	nan	0.764240	0.414870	0.782700	0.839020	0.720130	0.807510	0.341520	0.662860	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
371	nan	0.565470	nan	0.532560	0.529100	0.578010	0.481000	0.544920	0.640460	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
118	nan	0.556050	nan	0.532560	0.529100	0.578010	0.481000	0.544920	0.640460	0.378340	0.391290	0.311730	0.396200	0.544440	0.326850
576	nan	0.550680	0.428420	0.561710	0.415660	0.322890	0.224040	0.592550	0.411440	0.200730	0.218280	0.432170	0.503020	0.348130	0.481570
257	nan	0.550680	0.428420	0.561710	0.415660	0.322890	0.224040	0.592550	0.411440	0.200730	0.218280	0.432170	0.503020	0.348130	0.481570
5	nan	0.275990	0.428420	0.561710	0.415660	0.322890	0.224040	0.592550	0.411440	0.200730	0.218280	0.432170	0.503020	0.348130	0.481570
776	nan	0.550680	0.428420	0.561710	0.415660	0.322890	0.224040	0.592550	0.411440	0.200730	0.218280	0.432170	0.503020	0.348130	0.481570
205	nan	0.275990	0.428420	0.561710	0.415660	0.322890	0.224040	0.592550	0.411440	0.200730	0.218280	0.432170	0.503020	0.348130	0.481570
213	nan	0.550680	0.428420	0.561710	0.415660	0.322890	0.224040	0.592550	0.411440	0.200730	0.218280	0.432170	0.503020	0.348130	0.481570
278	nan	0.275990	0.428420	0.561710	0.415660	0.322890	0.224040	0.592550	0.411440	0.200730	0.218280	0.432170	0.503020	0.348130	0.481570
664	nan	0.275990	0.428420	0.561710	0.415660	0.322890	0.224040	0.592550	0.411440	0.200730	0.218280	0.432170	0.503020	0.348130	0.481570
409	nan	0.550680	0.428420	0.561710	0.415660	0.322890	0.224040	0.592550	0.411440	0.200730	0.218280	0.432170	0.503020	0.348130	0.481570
796	nan	0.550680	0.428420	0.561710	0.415660	0.322890	0.224040	0.592550	0.411440	0.200730	0.218280	0.432170	0.503020	0.348130	0.481570
349	nan	0.275990	0.428420	0.561710	0.415660	0.322890	0.224040	0.592550	0.411440	0.200730	0.218280	0.432170	0.503020	0.348130	0.481570
