MolID	1	2	3	4	5	6	7	8	9	10	11	12	13	14
57	nan	0.610270	0.674570	0.742790	0.797940	0.343780	0.566140	0.409390	0.330300	0.576030	nan	0.268160	0.643600	0.331470	nan
626	nan	0.610270	0.674570	0.742790	0.797940	0.343780	0.566140	0.409390	0.330300	0.576030	nan	0.268160	0.643600	0.331470	nan
580	nan	nan	nan	nan	nan	0.343780	0.566140	0.409390	0.330300	0.576030	nan	0.268160	0.643600	0.331470	nan
7	nan	nan	nan	nan	nan	0.343780	0.566140	0.409390	0.330300	0.576030	nan	0.268160	0.643600	0.331470	nan
80	nan	nan	0.663090	nan	0.905300	0.701330	0.751130	nan	0.246440	nan	nan	0.563400	0.553540	0.372450	nan
737	nan	nan	0.663090	nan	0.905300	0.701330	0.751130	nan	0.246440	nan	nan	0.563400	0.553540	0.372450	nan
248	nan	nan	0.663090	nan	0.905300	0.701330	0.751130	nan	0.246440	nan	nan	0.563400	0.553540	0.372450	nan
669	nan	nan	0.663090	nan	0.905300	0.701330	0.751130	nan	0.246440	nan	nan	0.563400	0.553540	0.372450	nan
14	nan	nan	0.663090	nan	0.905300	0.701330	0.751130	nan	0.246440	nan	nan	0.563400	0.553540	0.372450	nan
15	nan	0.513260	0.429860	nan	nan	0.741580	0.545050	0.751470	0.735160	0.790300	nan	0.563400	0.553540	0.372450	nan
96	nan	0.416950	0.355540	0.423030	0.525990	0.599840	0.596080	0.425980	0.697320	0.586490	0.611850	0.098840	0.309770	0.777920	nan
448	nan	0.416950	0.355540	0.423030	0.525990	0.599840	0.596080	0.425980	0.697320	0.586490	0.611850	0.098840	0.309770	0.777920	nan
552	nan	0.416950	0.355540	0.423030	0.525990	0.599840	0.596080	0.425980	0.697320	0.586490	0.611850	0.098840	0.309770	0.777920	nan
241	nan	0.416950	0.355540	0.423030	0.525990	0.599840	0.596080	0.425980	0.697320	0.586490	0.611850	0.098840	0.309770	0.777920	nan
87	nan	0.416950	0.355540	0.423030	0.525990	0.599840	0.596080	0.425980	0.697320	0.586490	0.611850	0.098840	0.309770	0.777920	nan
568	nan	0.416950	0.355540	0.423030	0.525990	0.599840	0.596080	0.425980	0.697320	0.586490	0.611850	0.098840	0.309770	0.777920	nan
59	nan	0.416950	0.355540	0.423030	0.525990	0.599840	0.596080	0.425980	0.697320	0.586490	0.611850	0.098840	0.309770	0.777920	nan
152	nan	0.416950	0.355540	0.423030	0.525990	0.599840	0.596080	0.425980	0.697320	0.586490	0.611850	0.098840	0.309770	0.777920	nan
223	nan	0.558580	0.661510	0.631310	0.520540	0.456640	0.656470	0.765830	0.484650	0.389340	0.763270	0.558860	0.444460	0.306220	nan
788	nan	0.558580	0.661510	0.631310	0.520540	0.456640	0.656470	0.765830	0.484650	0.389340	0.763270	0.558860	0.444460	0.306220	nan
182	nan	0.558580	0.661510	0.631310	0.520540	0.456640	0.656470	0.765830	0.484650	0.389340	0.763270	0.558860	0.444460	0.306220	nan
231	nan	0.558580	0.661510	0.631310	0.520540	0.456640	0.656470	0.765830	0.484650	0.389340	0.763270	0.558860	0.444460	0.306220	nan
649	nan	0.558580	0.661510	0.631310	0.520540	0.456640	0.656470	0.765830	0.484650	0.389340	0.763270	0.558860	0.444460	0.306220	nan
79	nan	0.558580	0.661510	0.631310	0.520540	0.456640	0.656470	0.765830	0.484650	0.389340	0.763270	0.558860	0.444460	0.306220	nan
81	nan	0.558580	0.661510	0.631310	0.520540	0.456640	0.656470	0.765830	0.484650	0.389340	0.763270	0.558860	0.444460	0.306220	nan
418	nan	0.558580	0.661510	0.631310	0.520540	0.456640	0.656470	0.765830	0.484650	0.389340	0.763270	0.558860	0.444460	0.306220	nan
697	nan	0.558580	0.661510	0.631310	0.520540	0.456640	0.656470	0.765830	0.484650	0.389340	0.763270	0.558860	0.444460	0.306220	nan
