Initial configuration

10400   atoms

7 atom types

-74.0 74.0 xlo xhi 
-74.0 74.0 ylo yhi 
-10.0 10.0 zlo zhi 

Masses

1 1
2 0.1
3 0.1
4 0.1
5 0.1
6 0.1
7 0.1

Atoms # molecular

1 0 1 -40.1736 32.3131 -0.1340
2 0 1 -40.3680 32.9891 -0.1340
3 0 1 -40.5624 33.6651 -0.1340
4 0 1 -39.2407 32.6872 -0.1340
5 0 1 -39.5732 33.8437 -0.1340
6 0 1 -38.3077 33.0613 -0.1340
7 0 1 -38.5841 34.0224 -0.1340
8 0 2 -40.0354 31.8326 -0.1340
9 0 3 -40.7006 34.1456 -0.1340
10 0 4 -39.1025 32.2067 -0.1340
11 0 5 -39.7114 34.3243 -0.1340
12 0 6 -38.1695 32.5808 -0.1340
13 0 7 -38.7223 34.5029 -0.1340
14 1 1 -35.3722 37.8641 -0.1340
15 1 1 -35.5686 38.5395 -0.1340
16 1 1 -35.7651 39.2149 -0.1340
17 1 1 -34.4404 38.2410 -0.1340
18 1 1 -34.7764 39.3965 -0.1340
19 1 1 -33.5086 38.6178 -0.1340
20 1 1 -33.7878 39.5781 -0.1340
21 1 2 -35.2326 37.3840 -0.1340
22 1 3 -35.9047 39.6950 -0.1340
23 1 4 -34.3008 37.7608 -0.1340
24 1 5 -34.9161 39.8766 -0.1340
25 1 6 -33.3690 38.1377 -0.1340
26 1 7 -33.9274 40.0582 -0.1340
27 2 1 69.3495 4.8203 -0.1340
28 2 1 69.9048 5.2521 -0.1340
29 2 1 70.4600 5.6839 -0.1340
30 2 1 70.0437 4.0933 -0.1340
31 2 1 70.9936 4.8321 -0.1340
32 2 1 70.7379 3.3664 -0.1340
33 2 1 71.5273 3.9803 -0.1340
34 2 2 68.9549 4.5133 -0.1340
35 2 3 70.8547 5.9909 -0.1340
36 2 4 69.6490 3.7864 -0.1340
37 2 5 71.3883 5.1391 -0.1340
38 2 6 70.3432 3.0594 -0.1340
39 2 7 71.9220 4.2873 -0.1340
