x_column  y_column
1.000000000000000000e+02 4.048673000183984350e+00
5.000000000000000000e+02 3.238938400147187924e+00
1.000000000000000000e+03 2.834071100128789489e+00
5.000000000000000000e+03 3.157964940143505483e+00
1.000000000000000000e+04 3.613440652664198449e+00
5.000000000000000000e+04 3.599270297163562393e+00
1.000000000000000000e+05 3.438335545406239646e+00
5.000000000000000000e+05 3.494207232808790309e+00
1.000000000000000000e+06 3.510908008934545244e+00
5.000000000000000000e+06 3.478478138203072501e+00
1.000000000000000000e+07 3.488286048546013873e+00
