# MolID	Frame0	Frame1	Frame2	Frame3	Frame4	Frame5	Frame6	Frame7	Frame8	Frame9	Frame10	Frame11	Frame12	Frame13	Frame14
1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
2	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
3	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
5	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
6	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
7	1	4	4	4	4	4	4	3	4	4	4	4	4	4	3
8	1	3	4	4	4	4	3	3	4	4	4	4	4	4	3
9	1	3	4	4	4	4	3	3	4	4	4	4	4	4	3
10	1	1	4	4	4	4	3	3	4	4	4	4	4	4	3
11	1	4	4	4	4	4	4	3	4	4	4	4	4	4	3
12	1	1	4	4	4	4	3	3	4	4	4	4	4	4	3
13	1	4	4	4	4	4	4	3	4	4	4	4	4	4	3
14	1	3	4	4	4	4	3	3	4	4	4	4	4	4	3
15	1	3	4	4	4	4	3	1	4	4	4	4	4	4	3
16	1	4	4	4	4	4	4	3	4	4	4	4	4	4	3
17	1	4	4	4	4	4	4	3	4	4	4	4	4	4	3
18	1	3	4	4	4	4	3	3	4	4	4	4	4	4	3
19	1	4	4	4	4	4	4	3	4	4	4	4	4	4	3
20	1	3	4	4	4	4	1	3	4	4	4	4	4	4	3
21	1	3	4	4	4	4	3	3	4	4	4	4	4	4	3
22	1	3	4	4	4	4	3	3	4	4	4	4	4	4	3
23	1	4	4	4	4	4	4	3	4	4	4	4	4	4	3
24	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
25	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
26	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
27	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
28	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
29	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
30	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
31	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
32	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
33	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
34	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
35	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
36	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
37	1	4	4	4	4	4	3	4	3	4	4	3	4	4	3
38	1	4	4	4	4	4	3	4	3	4	4	3	4	4	3
39	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
40	1	4	4	4	4	4	3	4	3	4	4	3	4	4	3
41	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
42	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
43	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
44	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
45	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
46	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
47	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
48	1	4	4	4	4	4	3	4	3	4	4	3	4	4	3
49	1	4	4	4	4	4	3	4	3	4	4	3	4	4	3
50	1	4	4	4	4	4	3	4	3	4	4	3	4	4	3
51	1	4	4	4	4	4	3	4	3	4	4	3	4	4	3
52	1	4	3	4	4	4	4	4	4	4	2	2	2	2	2
53	1	4	3	4	4	4	4	4	4	4	2	2	2	2	2
54	1	4	4	4	4	4	4	4	4	4	2	2	2	2	2
