MolID	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
577	0.303040	0.634450	0.883000	nan	0.941750	nan	nan	0.872710	nan	nan	0.894150	0.933560	nan	0.816190	nan
548	0.303040	0.634450	0.883000	nan	0.941750	nan	nan	0.872710	nan	nan	0.894150	0.933560	nan	0.816190	nan
23	0.303040	0.634450	0.883000	nan	0.941750	nan	nan	0.872710	nan	nan	0.894150	0.933560	nan	0.816190	nan
65	nan	nan	nan	nan	0.861560	0.445480	nan	0.769320	nan	0.817880	0.769660	0.896570	0.890980	nan	nan
481	nan	nan	nan	nan	0.861560	0.445480	nan	0.769320	nan	0.817880	0.769660	0.896570	0.890980	nan	nan
94	nan	nan	nan	nan	0.861560	0.445480	nan	0.769320	nan	0.817880	0.769660	0.896570	0.890980	nan	nan
578	0.303040	0.634450	0.883000	nan	0.941750	nan	nan	0.872710	nan	nan	0.894150	0.933560	nan	0.816190	nan
77	0.303040	0.634450	0.883000	nan	0.941750	nan	nan	0.872710	nan	nan	0.894150	0.933560	nan	0.816190	nan
78	0.303040	0.634450	0.883000	nan	0.941750	nan	nan	0.872710	nan	nan	0.894150	0.933560	nan	0.816190	nan
184	nan	nan	0.675330	0.924360	nan	0.585740	0.901360	0.566440	0.679280	0.571500	0.914260	0.421850	nan	0.906670	nan
272	nan	nan	0.675330	0.924360	nan	0.585740	0.901360	0.566440	0.679280	0.571500	0.914260	0.421850	nan	0.906670	nan
170	nan	nan	0.675330	0.924360	nan	0.585740	0.901360	0.566440	0.679280	0.571500	0.914260	0.421850	nan	0.906670	nan
171	nan	nan	0.675330	0.924360	nan	0.585740	0.901360	0.566440	0.679280	0.571500	0.914260	0.421850	nan	0.906670	nan
297	nan	nan	0.675330	0.924360	nan	0.585740	0.901360	0.566440	0.679280	0.571500	0.914260	0.421850	nan	0.906670	nan
325	nan	nan	0.675330	0.924360	nan	0.585740	0.901360	0.566440	0.679280	0.571500	0.914260	0.421850	nan	0.906670	nan
268	nan	nan	0.675330	0.924360	nan	0.585740	0.901360	0.566440	0.679280	0.571500	0.914260	0.421850	nan	0.906670	nan
213	nan	nan	0.675330	0.924360	nan	0.585740	0.901360	0.566440	0.679280	0.571500	0.914260	0.421850	nan	0.906670	nan
674	nan	nan	nan	nan	0.861560	0.445480	nan	0.769320	nan	0.817880	0.769660	0.896570	0.890980	nan	nan
483	nan	nan	nan	nan	0.861560	0.445480	nan	0.769320	nan	0.817880	0.769660	0.896570	0.890980	nan	nan
454	nan	nan	nan	nan	0.861560	0.445480	nan	0.769320	nan	0.817880	0.769660	0.896570	0.890980	nan	nan
