MolID	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
36	nan	nan	0.367410	0.280600	0.315620	0.358510	0.539070	0.386660	0.441840	0.565980	0.562060	0.420140	0.204830	0.306130	0.459900
611	nan	nan	0.367410	0.280600	0.315620	0.358510	0.539070	0.386660	0.441840	0.565980	0.562060	0.420140	0.204830	0.306130	0.459900
488	nan	nan	0.367410	0.280600	0.315620	0.358510	0.539070	0.386660	0.441840	0.565980	0.562060	0.420140	0.204830	0.306130	0.459900
489	nan	0.754730	0.367410	0.280600	0.315620	0.358510	0.539070	0.386660	0.441840	0.565980	0.562060	0.420140	0.204830	0.306130	0.459900
618	nan	0.754730	0.367410	0.280600	0.315620	0.358510	0.539070	0.386660	0.441840	0.565980	0.562060	0.420140	0.204830	0.306130	0.459900
184	nan	0.386460	0.367410	0.280600	0.315620	0.358510	0.539070	0.386660	0.441840	0.565980	0.562060	0.420140	0.204830	0.306130	0.459900
697	nan	0.386460	0.367410	0.280600	0.315620	0.358510	0.539070	0.386660	0.441840	0.565980	0.562060	0.420140	0.204830	0.306130	0.459900
59	nan	0.386460	0.367410	0.280600	0.315620	0.358510	0.539070	0.386660	0.441840	0.565980	0.562060	0.420140	0.204830	0.306130	0.459900
638	nan	0.386460	0.367410	0.280600	0.315620	0.358510	0.539070	0.386660	0.441840	0.565980	0.562060	0.420140	0.204830	0.306130	0.459900
255	nan	0.386460	0.367410	0.280600	0.315620	0.358510	0.539070	0.386660	0.441840	0.565980	0.562060	0.420140	0.204830	0.306130	0.459900
128	nan	0.526140	0.603880	0.340890	0.501270	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
512	nan	0.526140	0.603880	0.340890	0.501270	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
642	nan	0.526140	0.603880	0.340890	0.501270	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
5	nan	0.526140	0.603880	0.340890	0.501270	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
583	nan	0.526140	0.603880	0.340890	0.501270	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
72	nan	0.526140	0.603880	0.340890	0.501270	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
779	nan	0.526140	0.603880	0.340890	0.501270	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
206	nan	0.526140	0.603880	0.340890	0.501270	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
143	nan	0.526140	0.603880	0.340890	0.501270	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
592	nan	0.526140	0.603880	0.340890	0.501270	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
468	nan	0.526140	0.603880	0.340890	0.501270	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
793	nan	0.715410	0.530400	0.450570	0.495480	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
156	nan	0.526140	0.603880	0.340890	0.501270	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
677	nan	0.526140	0.603880	0.340890	0.501270	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
551	nan	0.526140	0.603880	0.340890	0.501270	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
683	nan	0.715410	0.530400	0.450570	0.495480	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
620	nan	0.715410	0.530400	0.450570	0.495480	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
561	nan	0.715410	0.530400	0.450570	0.495480	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
563	nan	0.715410	0.530400	0.450570	0.495480	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
761	nan	0.715410	0.530400	0.450570	0.495480	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
764	nan	0.715410	0.530400	0.450570	0.495480	0.257210	0.529390	0.324050	0.447220	0.426730	0.213240	0.359610	0.392690	0.549400	0.526190
320	0.264620	nan	0.805410	0.831470	0.843230	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
449	nan	0.781740	0.661420	0.477970	0.466060	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
194	nan	0.806760	0.661420	0.477970	0.466060	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
453	0.264620	nan	0.805410	0.831470	0.843230	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
582	nan	0.781740	0.661420	0.477970	0.466060	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
69	0.264620	0.806760	0.661420	0.477970	0.466060	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
521	0.264620	nan	0.805410	0.831470	0.843230	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
12	0.264620	nan	0.805410	0.831470	0.843230	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
783	0.264620	nan	0.805410	0.831470	0.843230	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
144	nan	0.806760	0.661420	0.477970	0.466060	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
208	0.264620	0.806760	0.661420	0.477970	0.466060	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
215	0.264620	nan	0.805410	0.831470	0.843230	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
796	0.264620	0.806760	0.661420	0.477970	0.466060	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
348	0.264620	0.806760	0.661420	0.477970	0.466060	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
605	nan	0.806760	0.661420	0.477970	0.466060	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
291	nan	0.781740	0.661420	0.477970	0.466060	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
171	0.264620	nan	0.805410	0.831470	0.843230	0.652760	0.458280	0.451510	0.488080	0.363730	0.347950	0.508120	0.391630	0.334170	0.178590
