MolID	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
65	nan	nan	0.375040	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
642	nan	0.675620	0.375040	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
577	nan	nan	nan	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
451	nan	0.675620	0.375040	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
9	nan	nan	0.375040	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
11	nan	nan	0.375040	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
140	nan	nan	nan	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
395	nan	nan	0.375040	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
459	nan	nan	nan	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
787	nan	nan	nan	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
20	nan	nan	0.375040	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
473	nan	0.675620	0.375040	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
26	nan	nan	nan	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
604	nan	0.675620	0.375040	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
285	nan	nan	0.375040	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
225	nan	nan	0.375040	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
233	nan	nan	nan	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
298	nan	nan	nan	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
489	nan	nan	nan	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
364	nan	0.675620	0.375040	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
429	nan	nan	0.375040	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
687	nan	nan	nan	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
628	nan	nan	nan	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
759	nan	nan	0.375040	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
443	nan	nan	0.375040	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
316	nan	0.675620	0.375040	0.361710	0.424000	nan	0.495070	0.500450	0.454650	nan	nan	nan	0.422180	0.421690	nan
683	nan	0.577830	0.651950	0.434920	0.244030	0.193370	nan	0.439370	0.343810	0.438360	0.250610	0.416490	nan	0.482610	nan
12	nan	0.737850	0.153400	0.375480	nan	0.193370	nan	0.439370	0.343810	0.438360	0.250610	0.416490	nan	0.482610	nan
525	nan	nan	nan	nan	nan	0.193370	nan	0.439370	0.343810	0.438360	0.250610	0.416490	nan	0.482610	nan
431	nan	0.737850	0.153400	0.375480	nan	0.193370	nan	0.439370	0.343810	0.438360	0.250610	0.416490	nan	0.482610	nan
82	nan	0.577830	0.651950	0.434920	0.244030	0.193370	nan	0.439370	0.343810	0.438360	0.250610	0.416490	nan	0.482610	nan
214	nan	0.577830	0.651950	0.434920	0.244030	0.193370	nan	0.439370	0.343810	0.438360	0.250610	0.416490	nan	0.482610	nan
28	nan	0.577830	0.651950	0.434920	0.244030	0.193370	nan	0.439370	0.343810	0.438360	0.250610	0.416490	nan	0.482610	nan
29	nan	nan	nan	nan	nan	0.193370	nan	0.439370	0.343810	0.438360	0.250610	0.416490	nan	0.482610	nan
17	nan	0.420570	0.588650	0.702990	0.603680	0.466790	0.678950	0.371950	0.346820	0.406770	nan	0.813370	0.737220	0.864780	nan
660	nan	0.420570	0.588650	0.702990	0.603680	0.466790	0.678950	0.371950	0.346820	0.406770	nan	0.813370	0.737220	0.864780	nan
781	nan	0.420570	0.588650	0.702990	0.603680	0.466790	0.678950	0.371950	0.346820	0.406770	nan	0.813370	0.737220	0.864780	nan
608	nan	0.531030	nan	0.645030	nan	0.374240	0.297600	0.446300	0.441940	0.511850	nan	nan	0.308370	0.380750	nan
384	nan	0.531030	nan	0.645030	nan	0.374240	0.297600	0.446300	0.441940	0.511850	nan	nan	0.308370	0.380750	nan
134	nan	0.503780	0.384910	0.416010	nan	0.374240	0.297600	0.446300	0.441940	0.511850	nan	nan	0.308370	0.380750	nan
711	nan	0.531030	nan	0.645030	nan	0.374240	0.297600	0.446300	0.441940	0.511850	nan	nan	0.308370	0.380750	nan
265	nan	0.503780	0.384910	0.416010	nan	0.374240	0.297600	0.446300	0.441940	0.511850	nan	nan	0.308370	0.380750	nan
44	nan	0.503780	0.384910	0.416010	nan	0.374240	0.297600	0.446300	0.441940	0.511850	nan	nan	0.308370	0.380750	nan
588	nan	0.531030	nan	0.645030	nan	0.374240	0.297600	0.446300	0.441940	0.511850	nan	nan	0.308370	0.380750	nan
498	nan	0.531030	nan	0.645030	nan	0.374240	0.297600	0.446300	0.441940	0.511850	nan	nan	0.308370	0.380750	nan
348	nan	0.503780	0.384910	0.416010	nan	0.374240	0.297600	0.446300	0.441940	0.511850	nan	nan	0.308370	0.380750	nan
343	nan	0.503780	0.384910	0.416010	nan	0.374240	0.297600	0.446300	0.441940	0.511850	nan	nan	0.308370	0.380750	nan
506	nan	0.503780	0.384910	0.416010	nan	0.374240	0.297600	0.446300	0.441940	0.511850	nan	nan	0.308370	0.380750	nan
124	nan	0.503780	0.384910	0.416010	nan	0.374240	0.297600	0.446300	0.441940	0.511850	nan	nan	0.308370	0.380750	nan
317	nan	0.531030	nan	0.645030	nan	0.374240	0.297600	0.446300	0.441940	0.511850	nan	nan	0.308370	0.380750	nan
126	nan	0.531030	nan	0.645030	nan	0.374240	0.297600	0.446300	0.441940	0.511850	nan	nan	0.308370	0.380750	nan
561	nan	0.577830	0.651950	0.434920	0.244030	0.193370	nan	0.439370	0.343810	0.438360	0.250610	0.416490	nan	0.482610	nan
550	nan	nan	0.153400	0.375480	nan	0.193370	nan	0.439370	0.343810	0.438360	0.250610	0.416490	nan	0.482610	nan
200	nan	nan	0.153400	0.375480	nan	0.193370	nan	0.439370	0.343810	0.438360	0.250610	0.416490	nan	0.482610	nan
585	nan	nan	0.153400	0.375480	nan	0.193370	nan	0.439370	0.343810	0.438360	0.250610	0.416490	nan	0.482610	nan
47	nan	0.577830	0.651950	0.434920	0.244030	0.193370	nan	0.439370	0.343810	0.438360	0.250610	0.416490	nan	0.482610	nan
335	nan	0.577830	0.651950	0.434920	0.244030	0.193370	nan	0.439370	0.343810	0.438360	0.250610	0.416490	nan	0.482610	nan
769	nan	0.276230	0.531750	0.461470	nan	0.566300	0.833360	0.528510	0.524700	0.243940	0.487620	0.213000	0.402650	0.278020	nan
142	nan	0.276230	0.531750	0.461470	nan	0.566300	0.833360	0.528510	0.524700	0.243940	0.487620	0.213000	0.402650	0.278020	nan
