# MolID	Frame0	Frame1	Frame2	Frame3	Frame4	Frame5	Frame6	Frame7	Frame8	Frame9	Frame10	Frame11	Frame12	Frame13	Frame14
1	3	4	4	4	2	3	2	4	4	3	3	3	2	2	3
2	3	4	4	4	2	3	2	4	4	3	3	3	2	2	3
3	3	1	3	4	2	3	2	4	4	3	3	3	2	2	3
4	3	4	4	4	2	3	2	4	4	3	3	3	2	2	3
5	3	4	4	4	2	3	2	4	4	3	3	3	2	2	3
6	3	4	4	4	2	3	2	4	4	3	3	3	2	2	3
7	3	4	3	4	2	3	2	4	4	3	3	3	2	2	3
8	3	4	4	4	2	3	2	4	4	3	3	3	2	2	3
9	3	4	1	4	2	3	2	4	4	3	3	1	2	2	3
10	3	3	3	4	2	3	2	4	4	3	3	3	2	2	3
11	3	4	4	4	2	3	2	4	4	3	3	3	2	2	3
12	3	4	4	4	2	3	2	4	4	3	3	3	2	2	3
13	3	4	3	4	2	3	2	4	4	3	3	3	2	2	3
14	3	4	4	4	2	3	2	4	4	3	3	3	2	2	3
15	3	4	4	4	2	3	2	4	4	3	3	3	2	2	3
16	3	4	4	4	2	3	2	4	4	3	3	3	2	2	3
17	3	3	3	4	2	3	2	4	4	3	3	3	2	2	3
18	3	4	3	4	2	3	2	4	4	3	3	3	2	2	3
19	3	4	3	4	2	3	2	4	4	3	3	3	2	2	3
20	3	4	4	4	2	3	2	4	4	3	3	3	2	2	3
21	3	4	4	4	2	3	2	4	4	3	3	3	2	2	3
22	3	4	1	4	2	3	2	4	4	3	3	3	2	2	3
23	3	4	3	4	2	3	2	4	4	3	3	3	2	2	3
24	3	4	4	4	2	3	2	4	4	3	3	3	2	2	3
25	3	4	4	4	2	3	2	4	4	3	3	3	2	2	3
26	1	4	4	4	2	3	2	4	4	3	3	3	2	2	3
27	3	4	4	4	4	2	3	4	4	4	2	2	3	4	3
28	3	4	4	4	3	2	3	4	4	4	2	2	3	4	3
29	3	4	4	1	1	2	3	4	4	4	2	2	3	4	3
30	3	4	4	4	3	2	3	4	4	4	2	2	3	4	3
31	1	4	4	4	4	2	3	4	4	4	2	2	3	4	3
32	1	4	4	4	4	2	3	4	4	4	2	2	3	4	3
33	3	4	4	4	4	2	3	4	4	4	2	2	3	4	3
34	3	4	4	1	1	2	3	4	4	4	2	2	3	4	3
35	3	4	4	4	4	4	4	4	4	4	3	4	4	4	3
36	3	4	4	4	4	4	4	4	4	4	3	4	4	4	3
37	3	4	4	4	4	4	4	4	4	4	3	4	4	4	3
38	3	4	3	4	3	4	2	2	4	4	3	3	2	2	3
39	1	4	3	4	3	4	2	2	4	4	3	3	2	2	3
40	3	4	4	4	3	4	2	2	4	4	3	3	2	2	3
41	3	4	3	4	3	4	2	2	4	4	3	3	2	2	3
42	3	4	4	4	3	4	2	2	4	4	3	3	2	2	3
43	3	4	4	4	3	4	2	2	4	4	3	3	2	2	3
44	3	4	3	4	3	4	2	2	4	4	3	3	2	2	3
45	3	4	3	4	3	4	2	2	4	4	3	3	2	2	3
46	3	4	4	4	3	4	2	2	4	4	3	3	2	2	3
47	3	4	4	4	3	4	2	2	4	4	3	3	2	2	3
48	3	4	4	4	3	4	2	2	4	4	3	3	2	2	3
49	3	4	4	4	3	4	2	2	4	4	3	3	2	2	3
50	3	4	3	4	3	4	2	2	4	4	3	3	2	2	3
51	3	4	3	4	3	4	2	2	4	4	3	3	2	2	3
52	3	4	4	4	4	2	3	4	4	4	2	2	3	4	3
53	3	4	4	4	1	2	3	4	4	4	2	2	3	4	3
54	3	4	4	4	3	2	3	4	4	4	2	2	3	4	3
55	3	4	4	4	3	2	3	4	4	4	2	2	3	4	3
56	3	4	4	4	4	2	3	4	4	4	2	2	3	4	3
57	3	4	4	4	4	2	3	4	4	4	2	2	3	4	3
58	3	4	4	4	3	4	4	4	4	4	2	4	4	4	3
59	3	4	4	4	3	4	4	4	4	4	2	4	4	4	3
60	1	4	4	4	3	4	4	4	4	4	2	4	4	4	3
61	3	4	3	3	4	4	4	4	4	4	2	4	4	4	3
62	3	4	4	4	3	4	4	4	4	4	2	4	4	4	3
63	3	4	4	4	1	4	4	4	4	4	2	4	4	4	3
