# MolID	Frame0	Frame1	Frame2	Frame3	Frame4	Frame5	Frame6	Frame7	Frame8	Frame9	Frame10	Frame11	Frame12	Frame13	Frame14
1	2	4	4	4	4	4	4	4	4	4	4	4	4	4	3
2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	3
3	2	4	4	4	4	4	4	4	4	4	4	4	4	4	3
4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	3
5	2	4	4	4	4	4	4	4	4	4	4	4	4	4	3
6	2	4	4	4	4	4	4	4	4	4	4	4	4	4	3
7	2	4	4	4	4	4	4	4	4	4	4	4	4	4	3
8	2	4	4	4	4	4	4	4	4	4	4	4	4	4	3
9	2	4	4	4	4	4	4	4	4	4	4	4	4	4	3
10	2	4	4	4	4	4	4	4	4	4	4	4	4	4	3
11	2	4	4	4	4	4	4	4	4	4	4	4	4	4	3
12	2	4	4	4	4	4	4	4	4	4	4	4	4	4	3
13	2	4	4	4	4	4	4	4	4	4	4	3	4	4	3
14	2	4	4	4	4	4	4	4	4	4	4	3	4	4	3
15	2	4	4	4	4	4	4	4	4	4	4	3	4	4	3
16	2	4	4	4	4	4	4	4	4	4	4	3	4	4	3
17	2	4	4	4	4	4	4	4	4	4	4	3	4	4	3
18	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3
19	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3
20	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3
21	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3
22	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3
23	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3
24	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3
25	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3
26	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3
27	2	4	4	4	4	4	4	4	4	4	4	3	4	4	3
28	2	4	4	4	4	4	4	4	4	4	4	3	4	4	3
29	2	4	4	4	4	4	4	4	4	4	4	3	4	4	3
30	2	4	4	4	4	4	4	4	4	4	4	3	4	4	3
31	3	4	2	4	2	2	2	2	2	2	2	2	2	2	2
32	4	4	2	4	2	2	2	2	2	2	2	2	2	2	2
33	3	4	2	4	2	2	2	2	2	2	2	2	2	2	2
34	3	3	2	4	2	2	2	2	2	2	2	2	2	2	2
35	3	4	2	4	2	2	2	2	2	2	2	2	2	2	2
36	4	4	2	4	2	2	2	2	2	2	2	2	2	2	2
37	3	4	2	4	2	2	2	2	2	2	2	2	2	2	2
38	3	3	2	4	2	2	2	2	2	2	2	2	2	2	2
39	3	3	2	4	2	2	2	2	2	2	2	2	2	2	2
40	4	4	2	4	2	2	2	2	2	2	2	2	2	2	2
41	4	4	2	4	2	2	2	2	2	2	2	2	2	2	2
42	3	4	2	4	2	2	2	2	2	2	2	2	2	2	2
43	3	4	2	4	2	2	2	2	2	2	2	2	2	2	2
44	4	3	2	4	2	2	2	2	2	2	2	2	2	2	2
45	4	3	2	4	2	2	2	2	2	2	2	2	2	2	2
46	4	3	2	4	2	2	2	2	2	2	2	2	2	2	2
47	4	4	2	4	2	2	2	2	2	2	2	2	2	2	2
48	4	4	2	4	2	2	2	2	2	2	2	2	2	2	2
49	3	4	2	4	2	2	2	2	2	2	2	2	2	2	2
50	3	4	2	4	2	2	2	2	2	2	2	2	2	2	2
51	3	4	2	4	2	2	2	2	2	2	2	2	2	2	2
52	3	4	2	4	2	2	2	2	2	2	2	2	2	2	2
53	3	4	2	4	2	2	2	2	2	2	2	2	2	2	2
54	3	4	4	4	4	2	4	2	2	2	4	2	2	2	2
55	3	4	4	4	4	2	4	2	2	2	4	2	2	2	2
56	3	4	4	4	4	2	4	2	2	2	4	2	2	2	2
57	3	4	4	4	4	2	4	2	2	2	4	2	2	2	2
58	3	4	4	4	4	2	4	2	2	2	4	2	2	2	2
59	3	4	4	4	4	2	4	2	2	2	4	2	2	2	2
60	3	4	4	4	4	2	4	2	2	2	4	2	2	2	2
61	3	4	4	4	4	2	4	2	2	2	4	2	2	2	2
62	3	4	4	4	4	2	4	2	2	2	4	2	2	2	2
63	3	4	4	4	4	2	4	2	2	2	4	2	2	2	2
64	3	4	4	4	4	2	4	2	2	2	4	2	2	2	2
65	4	4	4	4	4	2	4	2	2	2	4	2	2	2	2
66	3	4	4	4	4	2	4	2	2	2	4	2	2	2	2
67	3	4	4	4	4	2	4	2	2	2	4	2	2	2	2
68	3	4	4	4	4	2	4	2	2	2	4	2	2	2	2
69	4	4	4	4	4	2	4	2	2	2	4	2	2	2	2
70	4	4	4	4	4	2	4	2	2	2	4	2	2	2	2
71	4	4	4	4	4	2	4	2	2	2	4	2	2	2	2
72	4	4	4	4	4	2	4	2	2	2	4	2	2	2	2
73	4	4	4	4	4	2	4	2	2	2	4	2	2	2	2
74	4	4	4	4	4	2	4	2	2	2	4	2	2	2	2
75	2	3	4	4	4	4	2	2	2	2	4	4	4	2	2
76	3	4	4	4	4	4	2	2	2	2	4	4	4	2	2
77	3	4	4	4	4	4	2	2	2	2	4	4	4	2	2
78	2	3	4	4	4	4	2	2	2	2	4	4	4	2	2
79	3	4	4	4	4	4	2	2	2	2	4	4	4	2	2
80	2	4	4	4	4	4	2	2	2	2	4	4	4	2	2
81	2	3	4	4	4	4	2	2	2	2	4	4	4	2	2
82	2	3	4	4	4	4	2	2	2	2	4	4	4	2	2
83	2	3	4	4	4	4	2	2	2	2	4	4	4	2	2
84	3	4	4	4	4	4	2	2	2	2	4	4	4	2	2
85	2	4	4	4	4	4	2	2	2	2	4	4	4	2	2
86	2	3	4	4	4	4	2	2	2	2	4	4	4	2	2
87	2	4	4	4	4	4	2	2	2	2	4	4	4	2	2
88	2	4	4	4	4	4	2	2	2	2	4	4	4	2	2
89	3	4	4	4	4	4	2	2	2	2	4	4	4	2	2
90	3	4	4	4	4	4	2	2	2	2	4	4	4	2	2
91	2	3	4	4	4	4	2	2	2	2	4	4	4	2	2
92	3	4	4	4	4	4	2	2	2	2	4	4	4	2	2
93	3	4	4	4	4	4	2	2	2	2	4	4	4	2	2
94	3	4	4	4	4	4	2	2	2	2	4	4	4	2	2
95	3	4	1	4	4	4	4	4	4	4	4	4	4	4	2
96	3	4	3	4	4	4	4	4	4	4	4	4	4	4	2
97	3	4	3	4	4	4	4	4	4	4	4	4	4	4	2
98	2	4	3	4	4	4	4	4	4	4	4	4	4	4	2
99	3	4	3	4	4	4	4	4	4	4	4	4	4	4	2
100	2	4	3	4	4	4	4	4	4	4	4	4	4	4	2
101	2	4	3	4	4	4	4	4	4	4	4	4	4	4	2
102	2	4	3	4	4	4	4	4	4	4	4	4	4	4	2
103	2	4	3	4	4	4	4	4	4	4	4	4	4	4	2
104	2	4	3	4	4	4	4	4	4	4	4	4	4	4	2
105	3	4	3	4	4	4	4	4	4	4	4	4	4	4	2
106	2	4	3	4	4	4	4	4	4	4	4	4	4	4	2
107	2	4	3	4	4	4	4	4	4	4	4	4	4	4	2
108	3	4	3	4	4	4	4	4	4	4	4	4	4	4	2
109	2	4	3	4	4	4	4	4	4	4	4	4	4	4	2
110	2	4	3	4	4	4	4	4	4	4	4	4	4	4	2
111	2	4	3	4	4	4	4	4	4	4	4	4	4	4	2
112	2	3	4	4	4	4	2	4	4	4	4	4	2	2	2
113	2	3	4	4	4	4	2	4	4	4	4	4	2	2	2
114	2	3	4	4	4	4	2	4	4	4	4	4	2	2	2
115	2	3	4	4	4	4	2	4	4	4	4	4	2	2	2
116	2	4	4	4	4	4	2	4	4	4	4	4	2	2	2
117	2	4	4	4	4	4	2	4	4	4	4	4	2	2	2
118	2	3	4	4	4	4	2	4	4	4	4	4	2	2	2
119	2	4	4	4	4	4	2	4	4	4	4	4	2	2	2
120	2	3	4	4	4	4	2	4	4	4	4	4	2	2	2
121	3	4	4	4	4	4	2	4	4	4	4	4	2	2	2
122	2	4	4	4	4	4	2	4	4	4	4	4	2	2	2
123	3	4	4	4	4	4	2	4	4	4	4	4	2	2	2
124	3	4	4	4	4	4	2	4	4	4	4	4	2	2	2
125	2	3	4	4	4	4	2	4	4	4	4	4	2	2	2
126	3	4	4	4	4	4	2	4	4	4	4	4	2	2	2
127	2	4	4	4	4	4	2	4	4	4	4	4	2	2	2
