# MolID	Frame0	Frame1	Frame2	Frame3	Frame4	Frame5	Frame6	Frame7	Frame8	Frame9	Frame10	Frame11	Frame12	Frame13	Frame14
128	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
129	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
130	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
131	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
132	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
133	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
134	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
135	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
136	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
137	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
138	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
139	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
140	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
141	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
142	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
143	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
144	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
145	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
146	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
147	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
148	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
149	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
150	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
151	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
152	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
153	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
154	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
155	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
156	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
157	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
158	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
159	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
160	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
161	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
162	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
163	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
164	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
165	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
166	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
167	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
168	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
169	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
170	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
171	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
172	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
173	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
174	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
175	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
176	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
177	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
178	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
179	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
180	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
181	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
182	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
183	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
184	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
185	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
186	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
187	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
188	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
189	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
190	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
191	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
192	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
193	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
194	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
195	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
196	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
197	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
198	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
199	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
200	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
201	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
202	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
203	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
204	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
205	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
206	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
207	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
208	3	2	2	2	2	2	2	4	4	2	4	2	2	4	2
209	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
210	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
211	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
212	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
213	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
214	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
215	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
216	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
217	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
218	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
219	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
220	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
221	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
222	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
223	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
224	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
225	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
226	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
227	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
228	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
229	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
230	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
231	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
232	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
233	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
234	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
235	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
236	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
237	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
238	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
239	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
240	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
241	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
242	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
243	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
244	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
245	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
246	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
247	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
248	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
249	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
250	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
251	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
252	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
253	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
254	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
255	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
256	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
257	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
258	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
259	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
260	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
261	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
262	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
263	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
264	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
265	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
266	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
267	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
268	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
269	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
270	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
271	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
272	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
273	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
274	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
275	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
276	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
277	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
278	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
279	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
280	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
281	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
282	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
283	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
284	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
285	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
286	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
287	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
288	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
289	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
290	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
291	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
292	3	4	2	2	2	2	2	2	2	2	4	2	2	4	2
