0 0.0159 0.0058
50000 0.1396 0.0157
100000 0.3014 0.0493
150000 0.2448 0.0349
200000 0.2077 0.0347
250000 0.1935 0.0500
500000 0.1345 0.0420
750000 0.0913 0.0318
1000000 0.0863 0.0327
1250000 0.0801 0.0297
1500000 0.0864 0.0386
1750000 0.0600 0.0207
2000000 0.0496 0.0257
2500000 0.0579 0.0289
3000000 0.0460 0.0261
3500000 0.0481 0.0232
4000000 0.0451 0.0307
4500000 0.0518 0.0327
5000000 0.0607 0.0414
