nmol     6      12     18     24       30     36     43
eps
3.5   57.65  65.32  63.14  64.51  58.0243  58.88  55.11
4.0   64.52  66.31  64.82  66.70  60.6281  53.64  50.85
4.5   64.53  61.80  59.83  59.38  49.7700  41.35  54.40
5.0   40.66  48.37  47.24  48.48  49.8003  53.65  43.32
5.5   71.03  69.67  69.84  67.64  62.8452  61.71  47.75
6.0   81.04  82.98  84.28  81.57  70.5833  68.06  47.94
