conc     6      12     18     24     30     36     43
eps                                                  
3.5   76.21  82.82  79.39  59.91  63.71  51.94  77.89
4.0   81.47  78.94  75.11  56.44  62.32  52.62  61.06
4.5   80.55  76.54  72.01  52.64  57.45  47.03  45.67
5.0   79.80  75.00  66.08  56.03  52.54  50.31  41.71
5.5   76.33  71.53  60.02  45.04  49.58  54.69  53.23
6.0   76.64  69.39  58.96  50.67  51.45  58.69  53.62
